Designator,Mid X,Mid Y,Rotation,Layer
AE1,186.5,-111.3,0.0,top
C1,127.525,-89.9,180.0,top
C12,158.9,-110.875,90.0,top
C13,157.0,-110.875,90.0,top
C14,142.65,-90.375,270.0,top
C15,149.025,-101.8,180.0,top
C16,144.15,-90.375,270.0,top
C17,144.9,-102.7,0.0,top
C18,145.65,-90.4,270.0,top
C19,149.025,-103.35,180.0,top
C2,127.525,-91.6,180.0,top
C20,153.8,-101.4,0.0,top
C21,156.825,-97.3,0.0,top
C22,159.85,-99.025,270.0,top
C23,163.675,-101.35,180.0,top
C24,165.9,-100.55,270.0,top
C25,170.0,-101.3,0.0,top
C26,152.625,-93.8,0.0,top
C27,151.075,-90.3,180.0,top
C28,158.0,-93.025,270.0,top
C29,167.7,-90.775,90.0,top
C3,127.45,-93.4,0.0,top
C30,163.325,-93.8,0.0,top
C31,166.2,-94.525,90.0,top
C32,178.725,-95.775,180.0,top
C33,181.2,-92.975,270.0,top
C34,184.35,-94.825,270.0,top
C35,181.1,-96.525,270.0,top
C4,169.1,-96.4,270.0,top
C5,123.8,-96.575,90.0,top
C6,125.85,-100.1,0.0,top
C7,178.725,-97.3,180.0,top
C8,137.625,-106.125,180.0,top
C9,136.55,-93.45,270.0,top
CR1,122.299999,-102.199999,0.0,top
D1,122.85,-107.2,180.0,top
D2,122.6,-92.9,90.0,top
D3,157.0,-104.6,180.0,top
IC1,172.2,-96.25,180.0,top
J1,114.52,-101.095,270.0,top
J3,189.4275,-101.2,180.0,top
L1,124.7,-90.8,270.0,top
L10,168.4875,-93.8,0.0,top
L11,169.25,-90.75,90.0,top
L12,176.4,-94.7625,90.0,top
L13,178.8625,-93.725,0.0,top
L14,182.8,-94.8,270.0,top
L2,122.075,-96.6125,270.0,top
L3,178.1,-111.3,180.0,top
L4,160.6625,-101.35,0.0,top
L5,167.7,-100.55,270.0,top
L6,173.1,-101.3,0.0,top
L7,150.3,-93.0125,90.0,top
L8,155.7125,-93.8,0.0,top
L9,160.3125,-93.8,0.0,top
Q1,154.2,-111.0375,270.0,top
Q2,149.5,-99.3,180.0,top
Q3,172.9,-91.8,270.0,top
R1,125.55,-102.45,0.0,top
R10,174.7,-96.525,90.0,top
R11,172.325,-98.3,180.0,top
R12,134.15,-106.9,270.0,top
R13,151.35,-111.475,270.0,top
R14,148.844,-112.268,180.0,top
R15,156.825,-95.8,180.0,top
R16,148.075,-90.3,0.0,top
R17,164.6,-90.75,90.0,top
R18,166.15,-90.75,270.0,top
R2,125.55,-103.95,0.0,top
R3,125.55,-105.425,0.0,top
R4,130.5,-106.975,270.0,top
R5,128.9,-106.975,90.0,top
R6,131.8,-91.6,0.0,top
R7,131.8,-94.1,0.0,top
R8,128.642814,-96.534515,90.0,top
R9,130.1,-96.525,90.0,top
TP1,134.3,-91.9,0.0,top
TP10,124.4,-109.5,0.0,top
TP11,127.3,-109.5,0.0,top
TP12,159.1,-96.0,0.0,top
TP13,184.8,-101.2,0.0,top
TP14,183.2,-99.2,0.0,top
TP15,183.2,-103.2,0.0,top
TP16,186.4,-99.2,0.0,top
TP17,184.8,-103.6,0.0,top
TP18,184.8,-98.7,0.0,top
TP19,186.4,-103.2,0.0,top
TP2,134.3,-95.0,0.0,top
TP3,118.8,-92.0,0.0,top
TP4,164.8,-96.1,0.0,top
TP5,126.7,-106.9,0.0,top
TP6,128.4,-98.8,0.0,top
TP7,176.0,-100.0,0.0,top
TP8,132.5,-106.0,0.0,top
TP9,121.4,-109.5,0.0,top
U1,129.6,-103.95,180.0,top
U10,181.04,-101.2,180.0,top
U2,129.6,-101.15,0.0,top
U3,126.25,-96.4625,270.0,top
U4,132.55,-111.2375,270.0,top
U5,135.83899,-100.386136,225.0,top
U6,168.2,-107.9,0.0,top
U7,145.275,-94.8,270.0,top
U8,145.1,-106.8,270.0,top
U9,156.95,-99.7,180.0,top
Y1,144.1,-111.8,0.0,top
Y2,144.2,-100.0,0.0,top
