Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT_1575AT_JOT,1,1575AT43A0040E,
"C1, C2, C8, C9",0603,4,0.1uf,
"C12, C16, C17, C21, C29, C5",0603,6,22nF,
"C13, C14, C15, C4, C7",0603,5,2.2uF,
"C18, C19, C24",0603,3,91pF,
"C20, C22, C30, C35",0603,4,2.2nF,
"C23, C25",0603,2,3.3pF,
C26,0603,1,20pF,
"C27, C32",0603,2,470pF,
C28,0603,1,16pF,
C3,0805,1,10uF,
"C31, C33",0603,2,110pF,
C34,0603,1,36pF,
C6,0805,1,22uF,
CR1,U-DFN3810-9TYPE_B_DIO,1,D3V3X8U9LP3810-7,
"D1, D2, D3",D_SOD-323,3,BAT54WS,
IC1,SON65P200X200X100-7N-D,1,LDFPVR,
J1,RJ45_Amphenol_54602-x08_Horizontal,1,RJ45,
J3,RFSOLUTIONS_CON-SMA-EDGE-S,1,CON-SMA-EDGE-S,
"L1, L2",0805,2,4.7uH,
L10,0603,1,20nH,
"L11, L7",0603,2,470nH,
L12,0805,1,2.2uH,
L13,0603,1,13nH,
L14,0603,1,39nH,
L3,0603,1,5.6nH,
"L4, L6",0603,2,270nH,
L5,0603,1,10nH,
L8,0603,1,47nH,
L9,0603,1,68nH,
Q1,SOT-23,1,AO3409,
Q2,SOT-23,1,AO3401A,
Q3,SOT-89-3,1,AFT05MS004NT1,
"R1, R2, R3",0603,3,100R,
R10,0603,1,47k,
"R11, R12, R13, R18, R4",0603,5,10k,
R14,0603,1,0,
R15,0603,1,220R,
R16,0603,1,22R,
R17,0603,1,3k3,
"R5, R6, R7",0603,3,1k,
R8,0603,1,51k,
R9,0603,1,16k,
"TP1, TP10, TP11, TP12, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TP_1.2MM,18,~,
TP13,TP_1.0MM,1,~,
"U1, U2",SOT-363_SC-70-6,2,SI1926DL-T1-E3,
U10,QFN50P200X200X65-13N,1,SKY13330-397LF,
U3,SOT-23-6,1,AP3211K,
U4,SOT-23-5,1,24LC01BT/OT,
U5,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32L432KBUx,
U6,XCVR_L76L-M33,1,L76L-M33,
"U7, U8",QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,2,Si4460,
U9,SOT-363_SC-70-6,1,"BGA2800,115",
"Y1, Y2",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,ECS-300-10-33B-CKM-TR,
