Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C2, C3",0603,6,0.1uF,
"C10, C6, C7, C8, C9",0603,5,1uF,
"C4, C5",0603,2,20pF,
D5,SOT323,1,PESD1CAN-U,
D6,DIOM4336X265N,1,SMBJ16CA,
D8,D_SOD-123,1,D_Schottky,
"GPS1, PWR1, RX1, TX1",0805,4,KT-0805G,
J3,USB_Micro-B_Amphenol_10118194_Horizontal,1,USB_B_Micro,
"Q1, Q3",SOT-23,2,BSS138,
Q2,SOT-23,1,AO3401A,
"R1, R2, R3, R4",0603,4,2k2,
"R10, R5, R6, R7, R8, R9",0603,6,10k,
"R11, R12",0603,2,0R,
"S1, S2",MS12D17G2,2,MS-12D17-G2,
S3,SKSCLDE010,1,SKSCLDE010,
TH1,1206,1,BSMD1206-050-16V,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32L432KBUx,
U2,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551-I-SN,
U4,SOT-23-6,1,SRV05-4,
U5,SO-8_3.9x4.9mm_P1.27mm,1,CH340N,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,ISO7721FDR,
U7,SOT-23-5,1,TJ5205SF5-5.0,
U8,SOT-23,1,SE8533X2-HF,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322516MOB4SI,
